@relation fakenewsTCC

@attribute message string
@attribute class {opiniao, fato, fake}

@data
'Este sabado foi o inicio da derrota de Bolsonaro, diz Boulos. https://t.co/tnnLGnjDAB #Eleicoes2018 #OVotoNaRecord https://t.co/iUeXWcaRXc',fato                                                                                                
'Eu acho que nozz Pecisamo mudar isso" Alckmin #DebateGlobo',opiniao                                                                                             
'Menino mimado e amarelao: Alckmin e Marina rebatem Bolsonaro https://t.co/vIYAGxQ364',fato                                                                                                
'Nao se troca de Constituicao como se muda de roupa, critica Ciro https://t.co/XaLRXzbtK2',fato                                                                                                
'- ain, porque haddad esta do lado do eunicio e do renan - olhem pro proprio rabo! ciro ta pedindo voto pra agripino maia! a pior escoria do coronelismo nordestino. votem no cara, e otimo candidato, mas nao venham com pureza pro meu lado, nao, que isso nao cola',opiniao                                                                                             
'- Ciro o q vc acha do Bolsonaro - Olha Meirelles eu acho que o PT afundou o Brasil - Pois e Ciro eu impulsionei a economia do Brasil quando fui ministro',opiniao                                                                                             
'- e aquela vice do haddad com tatuagem do che guevara - essa imagem e fake, ela nao tem essa tatuagem - mas eu tenho um produto que vc passa e tampa tudinho as tatuagens   AH PRONTO',fake                                                                                                
'- Hoje, 27/10, as 18:30h, ultima live antes das eleicoes com o  nosso futuro Presidente do BRASIL.  E ELE -> JAIR MESSIAS BOLSONARO. #B17 #BolsonaroPelaPaz https://t.co/01nsVPm4Bw',opiniao                                                                                             
'- joao goulart filho:  guardou pra si suas criticas ao remake do A Mumia com o tom cruise. segundo a wikipedia tem um filho chamado "expandir lista", que e algo que eu acho que diz muito sobre ele',opiniao                                                                                             
'- Meirelles, e os LGBT? - Eu acho que falta economia',opiniao                                                                                             
'- Pq voce vota no Ciro? - Ah, tudo comecou com esse meme https://t.co/MWm6g9OXRJ',opiniao                                                                                             
'- Sou eleitor do Amoedo e quero oportunidade democratica de ouvi-lo n debate da Globo porq prezo o direito de expressao. - Amigo, seu candidato entrou c/ representacao p/ impedir o Lula de ser entrevistado. - Petralha filho da puta, vou votar e no Bolsonaro e fuzilar voces!',opiniao                                                                                             
'- vou votar em vc  - nao eu q vou votar em vc  - para ciro eu voto 12  - nao boulos eu voto em vc  - ciro...  - bolinho... https://t.co/XzembwPkde',opiniao                                                                                             
'- vou votar no amoedo - mas vo eu acho q ele nao vai ganhar nao, o haddah, o ciro e o bolsonaro q tem mais intencoes de voto - sim, mas se todo mundo desviar o voto pra ele, ele ganha  Cara, a minha vo me deixa sem palavras pra logica dela, achei incrivel',opiniao                                                                                             
'Lder do MST sobre Dilma: "O governo dela  burro e indefensvel".  Em entrevista para o portal BBC Brasil,  o lder do movimento comunista MST deu uma facada nas costas de Dilma.  O governo de Dilma Rousseff  "burro" e "indefensvel" e "em algum momento o matrimnio do PT com a presidente ir para o divrcio" afirmou Joo Pedro Stdile,  dirigente nacional do MST (Movimento dos Trabalhadores Rurais Sem Terra) e aliado "sustentado" pelo PT. "H um distanciamento entre Dilma e o resto do PT. Se no houver mudanas,  isso pode se transformar em aes prticas",  disse Stdile,  sugerindo que a presidente pode perder o apoio da base petista no Congresso.', fake
'Citado 3 vezes na Lava-Jato,  Acio diz queparticipar das manifestaes de amanh.  Acio Neves (MG),  presidente nacional do PDSB,  afirmou hoje(12),  em vdeo publicado no Facebook,  que o dia 13 de maro "pode ser o domingo que mudou o Brasil".  Acio afirmou que participar dos atos,  mas no especificou onde. "Para isso (mudar o Brasil),   fundamental que voc,  eu,  que todos ns estejamos na rua dizendo "chega",  "chega desse governo",  e vamos construir uma nova histria para o Brasil. Eu vou estar l. Espero que voc esteja tambm ",  disse o senador. Com o nome citado pela terceira vez em delaes da Lava Jato,  o senador Acio Neves (PSDB-MG) disse que no tem nada a temer. Acio tambm foi citado pelo senador Delcdio do Amaral (PT-MS) na delao que est negociando com os investigadores da Lava Jato.', fake
'Dilma ter que explicar para a justia porque usou Jato da FAB para visitar o amigo "molusco".  A citao ocorrer via Justia Federal em Braslia,  para onde a 8.a Vara Cvel Federal de So Paulo expediu carta precatria.  A presidenta ter que explicar porque usou o patrimnio pblico para uso pessoal. No ltimo dia 5/03,  a magnnima "Rainha da Mandioca" usou todo um aparato governamental para visitar o ex-presidente Lula molusco. Ela ter oportunidade de apresentar resposta em observncia ao artigo 7.o da Lei 4717/1965 (Lei da Ao Popular). A ao foi ajuizada pelo advogado Julio Csar Martins Casarin,  inconformado com o deslocamento da presidente em jatinhos da FAB e em helicptero.', fake
'Movimento Ovos na Cara  a verso atualizada do Movimento Cara Pintada. A ovada recebida pelo prefeito de SP Joo Dria no foi um fato isolado,  o marco do lanamento do Movimento Ovos na Cara, verso atualizada do Movimento Cara Pintada da dcada de 1990.Na dcada de 1990 os jovens de todo Brasil pintaram o rosto com tinta guaxe e foram para as ruas exigir o impeachment do ento presidente Fernando Collor de Mello. Mais recentemente o Movimento Black Bloc foi as rus para depredar a fachadas de bancos e comrcios de luxo para mostrar o dio ao sistema capitalista.Mas a grande novidade  o Movimento Ovos na Cara. Um movimento irreverente que busca arranhar a imagem pblica de polticos que promovem sua fama no mudo virtual sem dar a devida ateno ao mundo real. Segundo Marcos Vicente Nolasco, 23 anos, representante do MOC na Bahia, a escolha de Joo Dria foi pelo fato dele andar sempre engomadinho, penteado com laqu e maquiado com Mary Kay. Queramos mostrar a ele e aos demais polticos que existem 14 milhes de desempregados que precisam de mais atitude que de pose.Karla Brunetti tem 19 anos e  articuladora do MOC no Rio de janeiro. Ela afirma que o movimento no tem bandeira poltica: No somos de direita nem de esquerda. Somos do lado do Brasil. Se Lula vier aqui tambm vai tomar ovo na cara. Se o Dria vier ao Rio vai levar mais ovo. Estes caras precisam aprender que o povo tem dio de quem faz poltica pelo Facebook. Fazer videozinho  fcil. Administrar levando em considerao os interesses do povo e respeitando o voto do eleitor  que so elas. Ovo na cara de todo poltico que levou grana da Odebrecht e da Petrobrs.Para os integrantes do MOC o ovo necessariamente precisa estar podre. Um valor sagrado para os lderes do movimento  o respeito ao alimento. Num pas onde 14 milhes de desempregados no possuem condio de alimentar suas famlias seria um desperdcio criminoso jogar comida fora. Jhonny de Cesaro, 21 anos, lder do moimento em So Paulo afirma que restaurantes e mercadinhos doam os ovos que seriam jogados fora para as aes do grupo.O prximo alvo dos manifestantes do MOC  o presidente Michel Temer. Est sendo preparada para ele uma salva de ovos podres em So Paulo. Ser um verdadeiro banho de ovo. Os manifestantes esto com mais de 3.000 ovos podres para arremessar na direo do presidente e de seus aliados.', fake
'Uma nova gerao (da Justia) pede passagem: "No h exibicionismo. Tudo  diferente!".  A transmisso ao vivo do julgamento do TRF4 permitiu ao pblico compar-lo com os julgamentos que se tem visto no STF.  A postura dos magistrados, raciocnio, mtodo de anlise, forma de se comunicar, tudo  diferente. No h competio pessoal ou ideolgica entre eles. Nem elogios recprocos. Cada um  si prprio. No h troca de crticas veladas, ou aplausos desnecessrios. Ou insinuaes jogadas no ar. Mais ainda: no h exibicionismo.', fake
'Fora tarefa da Lava-Jato ir investigar doao de terreno de R$ 20 milhes para Instituto Lula.  O Ministrio Pblico Federal de Curitiba ir participar da apurao do processo da doao de um terreno da Prefeitura de So Paulo para a construo da nova sede do Instituto Lula.  O ingresso na ao foi autorizado pelo juiz Adriano Marcos Laroca,  da 12a Vara da Fazenda Pblica de So Paulo. A rea do Instituto possui quatro mil metros quadrados e est avaliada em R$ 20 milhes. A iniciativa da doao do-la,  que foi feita sob regime de concesso por 99 anos,  foi do ex-prefeito da So Paulo Gilberto Kassab,  hoje ministro das Cidades no governo Dilma. A doao foi questionada pelo Ministrio Pblico por ferir a Lei Orgnica do municpio. Resumindo [...]  um caso que se arrastava na Justia  no se sabe porqu  mas a partir de agora ter o reforo da fora-tarefa da Lava Jato ( Antagonista  Folha/SP)', fake
'Vdeo divulgado pela deputada Jandira Feghali  usado como prova de denncia contra Lula.  O vdeo divulgado pela deputada comunista Jandira Feghali (PCdoB) na ltima semana foi usado como prova pelos procuradores do Ministrio Pblico de So Paulo.  Os promotores consideraram a fala de Lula como "um verdadeiro ataque s instituies do Sistema de Justia". No vdeo da deputada,  Lula aparece em segundo plano conversando ao telefone com a presidente Dilma Rousseff e diz que o poder pblico deveria "enfiar no #$" os processos movidos contra ele. (veja aqui ) Os promotores pediram a priso preventiva do ex-presidente alegando que ele estaria incitando a populao contra o Poder Judicirio.', fake
'A Secretaria da Justica e da Defesa da Cidadania de Sao Paulo manteve a condenacao do presidente do PRTB, Levy Fidelix, foi multado por pratica de discriminacao homofobica. Fidelix devera pagar R$ 25.070por ter feitodeclaracoes homofobicas durante debate das eleicoes de 2014. A multa foi estipulada em 1.000 UFESPs. O valor da UFESP para o periodo de 1o de janeiro a 31 de dezembro de 2017 e de R$ 25,07. A denuncia de discriminacao homofobica foi formulada pela Coordenacao de Politica para a Diversidade Sexual do Estado de Sao Paulo, contra Levy Fidelix. Durante o debate de 2014, a candidata Luciana Genro (PSOL) fez uma pergunta a Fidelix sobre suas politicas para a defesa dos direitos da chamada comunidade LGBT, de lesbicas, gays, bissexuais e transexuais, no caso de ser eleito. Na resposta, o candidato do PRTB associou a homossexualidade a pedofilia e a doencas mentais e fez uma especie de conclamacao da maioria para o enfrentamento da minoria sexual. Aparelho excretor nao reproduz, disse Fidelix. Como e que pode um pai de familia, um avo, ficar aqui escorado porque tem medo de perder voto? Prefiro nao ter esses votos, mas ser um pai, um avo que tem vergonha na cara, que instrua seu filho, que instrua seu neto. Vamos acabar com essa historinha. Eu vi agora o santo padre, o papa, expurgar  fez muito bem  do Vaticano um pedofilo. Mais a frente, afirmou: Entao, gente, vamos ter coragem. Nos somos maioria, vamos enfrentar essa minoria. Vamos enfrenta-los. Nao tenha medo de dizer sou pai, uma mae, vovo, e o mais importante e que esses que tem esses problemas realmente sejam atendidos no plano psicologico e afetivo, mas bem longe da gente, bem longe mesmo porque aqui nao da. VEJA A DECISAO Coordenacao de Politicas para a Diversidade Sexual  Denuncia de discriminacao homofobica nos termos da Lei Estadual 10.948/2001. O presente processo versa sobre denuncia de discriminacao homofobica, nos termos da Lei Estadual 10.948/2001, formulada pela Coordenacao de Politica para a Diversidade Sexual do Estado de Sao Paulo, em face de Jose Levy Fidelix da Cruz. Apos ser proferida decisao, o denunciado opos embargos de declaracao, sob a alegacao de que nao consta motivacao para fixar a penalidade imposta. Inconformado com a decisao, interpos recurso, requerendo a nulidade da sentenca por ausencia de motivacao para aplicacao de pena, e, caso nao seja esse o entendimento, pleiteou a reforma da decisao a fim de absolver o denunciado. Em contrapartida, a Defensoria Publica, quanto aos embargos de declaracao, requereu sua impugnacao. E, em sede de recurso, pleiteou pela majoracao da pena, em virtude da magnitude do dano causado pelo denunciado. Em sede de contrarrazoes, a Defensoria Publica consignou que houve motivacao suficiente para fixar o valor da pena, requerendo, por fim, a manutencao da decisao. Diante do exposto, verificando-se correta a procedencia da denuncia, eis que foi comprovada a pratica de discriminacao homofobica, mantenho a decisao administrativa de fls. 322/334, por seus proprios fundamentos, devendo subsistir a condenacao do denunciado, JOSE LEVY FIDELIX DA CRUZ, a pena de multa de 1000 UFESPs, nos termos do artigo 6o, inciso II, da Lei Estadual 10.948/2001.', fato
